"	CPU_Usage",Timestamp
24,01-01-2023 00:00
34,01-01-2023 00:05
29,01-01-2023 00:10
26,01-01-2023 00:15
26,01-01-2023 00:20
21,01-01-2023 00:25
18,01-01-2023 00:30
25,01-01-2023 00:35
25,01-01-2023 00:40
20,01-01-2023 00:45
12,01-01-2023 00:50
40,01-01-2023 00:55
15,01-01-2023 01:00
38,01-01-2023 01:05
25,01-01-2023 01:10
32,01-01-2023 01:15
19,01-01-2023 01:20
24,01-01-2023 01:25
42,01-01-2023 01:30
29,01-01-2023 01:35
34,01-01-2023 01:40
24,01-01-2023 01:45
24,01-01-2023 01:50
37,01-01-2023 01:55
37,01-01-2023 02:00
31,01-01-2023 02:05
39,01-01-2023 02:10
27,01-01-2023 02:15
19,01-01-2023 02:20
29,01-01-2023 02:25
20,01-01-2023 02:30
22,01-01-2023 02:35
33,01-01-2023 02:40
13,01-01-2023 02:45
22,01-01-2023 02:50
37,01-01-2023 02:55
34,01-01-2023 03:00
22,01-01-2023 03:05
33,01-01-2023 03:10
45,01-01-2023 03:15
20,01-01-2023 03:20
33,01-01-2023 03:25
21,01-01-2023 03:30
29,01-01-2023 03:35
44,01-01-2023 03:40
30,01-01-2023 03:45
33,01-01-2023 03:50
40,01-01-2023 03:55
27,01-01-2023 04:00
36,01-01-2023 04:05
45,01-01-2023 04:10
21,01-01-2023 04:15
17,01-01-2023 04:20
17,01-01-2023 04:25
20,01-01-2023 04:30
20,01-01-2023 04:35
20,01-01-2023 04:40
27,01-01-2023 04:45
24,01-01-2023 04:50
13,01-01-2023 04:55
15,01-01-2023 05:00
22,01-01-2023 05:05
16,01-01-2023 05:10
18,01-01-2023 05:15
19,01-01-2023 05:20
18,01-01-2023 05:25
20,01-01-2023 05:30
25,01-01-2023 05:35
36,01-01-2023 05:40
29,01-01-2023 05:45
21,01-01-2023 05:50
24,01-01-2023 05:55
31,01-01-2023 06:00
20,01-01-2023 06:05
35,01-01-2023 06:10
32,01-01-2023 06:15
40,01-01-2023 06:20
21,01-01-2023 06:25
23,01-01-2023 06:30
23,01-01-2023 06:35
21,01-01-2023 06:40
31,01-01-2023 06:45
19,01-01-2023 06:50
23,01-01-2023 06:55
26,01-01-2023 07:00
21,01-01-2023 07:05
24,01-01-2023 07:10
17,01-01-2023 07:15
16,01-01-2023 07:20
28,01-01-2023 07:25
25,01-01-2023 07:30
43,01-01-2023 07:35
23,01-01-2023 07:40
43,01-01-2023 07:45
39,01-01-2023 07:50
23,01-01-2023 07:55
39,01-01-2023 08:00
36,01-01-2023 08:05
30,01-01-2023 08:10
34,01-01-2023 08:15
32,01-01-2023 08:20
23,01-01-2023 08:25
26,01-01-2023 08:30
21,01-01-2023 08:35
19,01-01-2023 08:40
33,01-01-2023 08:45
50,01-01-2023 08:50
27,01-01-2023 08:55
15,01-01-2023 09:00
20,01-01-2023 09:05
27,01-01-2023 09:10
26,01-01-2023 09:15
18,01-01-2023 09:20
21,01-01-2023 09:25
31,01-01-2023 09:30
29,01-01-2023 09:35
22,01-01-2023 09:40
25,01-01-2023 09:45
17,01-01-2023 09:50
24,01-01-2023 09:55
24,01-01-2023 10:00
28,01-01-2023 10:05
22,01-01-2023 10:10
17,01-01-2023 10:15
27,01-01-2023 10:20
20,01-01-2023 10:25
29,01-01-2023 10:30
28,01-01-2023 10:35
33,01-01-2023 10:40
23,01-01-2023 10:45
48,01-01-2023 10:50
23,01-01-2023 10:55
21,01-01-2023 11:00
19,01-01-2023 11:05
23,01-01-2023 11:10
24,01-01-2023 11:15
18,01-01-2023 11:20
21,01-01-2023 11:25
19,01-01-2023 11:30
30,01-01-2023 11:35
30,01-01-2023 11:40
35,01-01-2023 11:45
22,01-01-2023 11:50
23,01-01-2023 11:55
52,01-01-2023 12:00
32,01-01-2023 12:05
38,01-01-2023 12:10
17,01-01-2023 12:15
14,01-01-2023 12:20
18,01-01-2023 12:25
18,01-01-2023 12:30
32,01-01-2023 12:35
23,01-01-2023 12:40
26,01-01-2023 12:45
17,01-01-2023 12:50
10,01-01-2023 12:55
25,01-01-2023 13:00
24,01-01-2023 13:05
28,01-01-2023 13:10
24,01-01-2023 13:15
14,01-01-2023 13:20
37,01-01-2023 13:25
24,01-01-2023 13:30
38,01-01-2023 13:35
12,01-01-2023 13:40
27,01-01-2023 13:45
31,01-01-2023 13:50
14,01-01-2023 13:55
21,01-01-2023 14:00
21,01-01-2023 14:05
23,01-01-2023 14:10
24,01-01-2023 14:15
36,01-01-2023 14:20
24,01-01-2023 14:25
30,01-01-2023 14:30
21,01-01-2023 14:35
25,01-01-2023 14:40
